Review	Relabel
다크그레이 색상 먼저 사고 너무 맘에들어서 블랙으로 또 구매했어요 진짜 갓성비입니다 오래입었는데 구김도 잘 안가고 보풀도 안일어나서 너무 좋아요 그리고 스판이 있어서 진짜 편해요ㅠ 기장이 길어서 다리도 길어보여요	1
무난한 핏이고 보세품질이라 가성비는 아닌느낌	0
진짜진짜진짜 이뻐요딱 생각했던 핏이였고 배송도 엄청 빨랐어요엘무드 최고	1
제질좋은데 운동많이한 저한텐 조금 짧네여 그래두 좋음	1
그냥 학교 체육복 위에 입을려구 싰어요 무난해여	0
바지길이가 조금일어서 기장줄일까 말까 고민중이에요	0
그냥 대충 착용해 봤는데도 고급져 보이고 좋네요 일단 가성비가 너무 좋아요 	1
키기준 안묶었을때 종아리 덮고허리끈묶으면 종아리 반정도 와요첨엔 너무큰거같아서 반품할까하다가 이가격에 캐시미어블랜드 사이 힘들거같아서 그냥 입었는데 생각보다 핏좋구 가벼워요근데 구김이 잘감색은 흔히 아는 오트밀 색보다 좀더 아이보리에 가까운 밝은색입니다	1
역시 좋습니다 ㅎㅎ 색도이쁘고 핏도 잘맞아서 좋네요	0
정말 편하고 막 입기 좋을 것 같아요 기장도 통도 되게 적당하고 이뻐요 근데 소재는 그닥 좋은 느낌은 아니고 드라이 클리닝만 하라고 써있어서 솔직히 엄청 만족스럽진 않아요ㅜㅜ그리고 바지가 검정색인데 군데군데 미세하게 흐릿한 부분이 있어요	0
진짜 부드럽고 핏도 딱 맞는 게 넘 예쁘고 촉감도 색상도 모든게 다 완벽	1
좀 얇고 찰랑거리는 느낌이 아쉽긴하지만 만족합니다	0
역시 슬랙스는 무탠다드 블레이져랑 같이 셋업으로 샀는데 너무너무너무 만족합니다 슬랙스는 무탠다드에서만 살거에요 최고입니다 ㅎㅎ	1
좋습니다 청바지랑도 잘어울려요 ㅎㅎ같이준 레이어드까지 완벽	1
부드럽고 색깔예쁘고 정사이즈에다가 보풀 많이 안 일어나서 좋아요	1
일단 무탠다드 배송 너무 빠름제 신체정보와 비슷하다면  추천드립니다이런 가격에 정말 가성비 좋은 제품이지만스판기가 없는게 아쉽네요 ㅠㅠ그래도 강추합니다	0
검정색이랑 하얀색 고민하다가 하얀색으로 구매했어요색상은 진짜 쨍한 하얀색이라 너무 이뻐요하얀색이라 옷이 더러워질까봐 걱정했는데 뭐가 묻어도 물로 혹은 세제로 잘 지워져서 좋아요길이는 제 기준으로 허리 약간 위에 오는 길이인데 입으면 다리가 길어 보여요다만 한가지 아쉬운건 옷이 얇아서 주머니에 뭐 넣으면 핏이 이상해져요주머니에 뭐 넣지 못하는건 아쉽지만 전체적으로 만족하는 옷이에요	0
마감이 너무 별로에요 잡사가 되게 많고 풀어진 짜임도 있어서 쿠폰 적용해서 만원대 가격이 그냥 제가격인거같아요 핏이 이뻐서 용서해드립니다	0
기본적인 베이지 색상이라 어디든 입기 좋은것 같아요	1
화란 니트는 깔별로 가지고 있어야죠 핏 예쁘네요	1
부들부들하고 탄탄합니다 다들 좋다고 해서 사봤는데 만족합니다 제가 체형이 작아서 살짝오버사이즌데 평균 남자분들은 적당히 입을거 같아요	1
그냥 가성비 최고 그냥 기본 블레이저 사고 싶으면 강추드립니다	1
무난한 디자인에 가격대비 질이 좋습니다 만족합니다	1
좀 밝은 색깔의 니트를 원했는데 색다른 맛으로 색깔이 이쁘게 나와서 맘에 들었어요 자주 애용할게요	1
간절기에 입기 딱 좋은 세트세트 너무 좋아요 딱딱이라농농	1
넘 보들보들하고 패턴도 이뻐서 다른 색상도 구매하려구용	1
가성비로는 정말 최고네요 사이즈도 다행히 딱 맞네요 여름에 입기엔 좀 두꺼워요	1
큰 기대를 안했는데 기대 이상으로 퀄이 너무 좋아요한여름 빼고 다 착용할수 있을거 같아요	1
너무 만족합니다 가격이 진짜 깡패수준인데 옷 퀄리티도 뒤쳐지지 않아서 너무 좋아요 맨 살에 입어도 부드럽네요	1
와 이렇게 답없는 니트 처음 보네요 아니 무슨 털이 엄청 빠져요 니트 받고 냄새나서 빨았는데 털이 너무 빠져서 없던 알레르기 생기겠어요 마스크 쓰고 돌돌이로 털 떼야할 정도입니다	0
후기에 무겁다 가볍다 말이 많아서 고민했는데코트 많이 입어본 제 기준으로는 가벼워요진짜 무거운 코트는 입는 순간 지치는데이건 너무 부드럽고 몸에 착 감기고 가벼워요가볍고 부드럽고 색도 넘 이쁘고 핏도 이쁘고ㅠㅠ기준 시켰으면 넘 짧을뻔 했어요ㅎㅎ보온성도 넘 좋아서 최고 ㅠㅠ	1
작년부터 발마칸 코트가 너무 갖고 싶었는데 어디 꺼 사지 한참 고민하다가 구매했습니다 산 거 후회 없이 너무너무 좋은데 아무래도 오버핏이다 보니까 제일 작은 사이즈로 구매했는데도 저 같은 땅따리한텐 너무 크네요ㅠㅠ 큰데도 불구하고 너무 예쁘고 껴 입으면 초겨울 날씨까진 커버 가능해서 대만족스럽습니다	1
흠 다시 돌아갈 기회가생긴다면 일단 안사렵니다 핏도 뭐 맨투맨 오버핏같은 무지 이상한핏에 엄청무겁고 돈이끼려다 후회하실것 같아요	0
소라색을 좋아하는 사람으로써 약간 소라보다는 살짝 밝지만 매우 이쁩니다  싼 가격에 입기 괜차나영	1
오버핏으로 입기 좋고 재질이 시원해서 여름에 입기 최고	1
생각외로 가격대비 퀄이 너무나도 좋네요 다른색상재구매를 할 마음이 생기네요	0
너무 좋아요 따흐흑 이거 사려고 다른 사이즈 몇 번을 사고 환불하고 교환하고 했는지 저랑 체형 비슷 하신분들 무조건 로 가십시오	1
사이즈 남성   기준 엉덩이 조금 덮어요 팔은 무진장 깁니다 품은 남성기준 조금 많이 오버핏이에요색감 여리여리 하늘색 너무 이뻐요 하얀 하의랑 입으면 조합 최고에요 파스텔톤이라서 몽글몽글 이뻐요 남성분들도 소화하기 쉬운 색이에요 직접 보면 너무 이뻐요소재 부들부들한데 공기가 송송 잘 통하고 땀 나도 찝찝하지 않는 소재에요 정말 부드러운 펀칭니트 느낌 안에 뭐 안입어두 저는 괜찮았어요 정말 너무 예민하신 분 아니면 안에 반팔 안입어도 될 것 같아요핏 완전 오버핏이라 팔은 정말 정말정말정말 정 말 길고 몸통 부분은 짧아서 팔 부분에 주름이 많아요 그래도 전체적인 실루엣이 예술입니덩 남자분들 이거 입으면 귀여워질 수 있어요	1
팔이 너무너무 길어요 그리고 손꼽에 염색약이ㅠ 그래도 색감은 이뻐여	0
역시 갓스탠다드 진짜 최고네요 가격대비 퀄리티 너무좋아요	1
색감 개이뻐요 겨울에 잘 입었고 역시 니트는 엘묻	1
인간이 누릴 수 있는 최고의 블레이저입니다 이 블레이저는 백개씩 사야합니다	1
가성비 최고입니다 비교해본 결과 가격대비 제일 좋다고 생각해요	1
저렴하고 이쁘고 퀄리티좋고 따듯합니다 가성비 최고에요	1
나머지는 다 맞는데 기장이 좀 커서 수선했어요바지 너무 좋네요	0
 블랙  사이즈 착용기본 니트 필요해서 찾다 찾아 이 곳 까지 오게 되었습니다 니트 가디건계의 맛집이라고 소문이 자자하더군요 고민 없이 바로 질렀습니다재질 너무 부드럽구요 두깨감 훌륭합니다 봄에 입어도 무방합니다 핏도 적당한 루즈핏으로 맘에 쏙 들었습니다 월급 들어오면 깔별로 살 생각입니다진짜 최고 맛집 인정 합니다앞으로도 이쁜 옷 많이 만들어주세요	1
스파오 상품은 항상 심플하고 가성비 너무 좋아요 굳굳	1
제 스펙은 무조건 입니다 제가봤을땐 까지도 무조건 인듯 폼이 엄청 커서 사이즈에 큰걱정 안하셔도 될듯해요	1
말이 필요업습다 무탠다드 블레이저는 릴렉스드 베이식이 젤최고	1
니트를 받아보고 짱짱하다는 느낌을 받았어요 구김 없이 오래 입을 수 있을 것 같습니다 제가 상체발달형인데 안에 레이어드 티셔츠 입어도 넉넉합니다	1
가성비도최고고 어떤 옷이든 잘어울리는거 같아요 바지 세미 와이드여서 핏이 이쁩니다	1
가성비로는 역시 무탠입니다 제질 부터 핏 다 좋아요 기장은 접은거라 수선 살짝 필요 하지만 원하던 색감에 핏이라 좋습니다   근데 을 시켰는데 옷에 달려있는 택에는 사이즈  바지 안에 있는 택에  배송이 잘 못 왔더라고요 근데 그냥 세미 와이드로 맞아서 뭐 바꾸기 귀찮아서입지만 다음부턴 더 신경써서 배송 부탁드립니다 ㅠㅠ	0
색깔이 예쁘고 사이즈도 아주 딱 좋아요 두꺼워서 겨울에도 잘 입을 것 같아요 사이즈는 빼입을 좋아해서 기장이 짧다고하는 분들도 있는데 제 기준에는 딱 좋은 것 같아요	1
아 진짜 최고의 휘뚜루마뚜루템 개편하고 개옙버요 나 좀 귀여울지도	1
길이랑 두께 딱 적당하구 생각보다 스판끼가 있어서 움직일 때 안 불편해요 근데 색감이 새하얀색은 아니고 아이보리 색이에요 하얀색 아니라 조금 아쉽	0
다 좋른데 냄새가 너무 많이 난다 그래서 너무 아쉽다	0
두껍고 부드럽고 따뜻하고 좋네요 재구메 했습니다	1
첨에 받자마자 색깔이 왜이렇게 칙칙해 했는데 크림진에 입으니 색깔 너무 잘빠진거같아요쿠어랑 엘무드 둘다 사봤는데 개인적으로 사이즈는 엘무드가 더 좋았습니다	1
이뻐요 가성비최고입니다 셋업으로 입기좋음요	1
검수가 똥망진창인거 빼면 아주 좋아요검수 생각하면 별개 주고싶지만 폼이 미쳤기때문에 참습니다 너무 따듯해서 땀나요	0
체격이 있는 편 인데도 넥 라인이 넒어서 후드나 집업에 매치할때는 안 예쁜데 맨투맨에 입을때는 좋은 거 같고 기장도 나쁘지 않지만 소재가 너무 얇다 과장해서 말 하면 물티슈보다 얇다	0
따듯하고 이뻐요 보풀이 안나는 재질이라 좋아요	1
생각보다 무지하게 크네요 잘알아볼껄 밑단시보리는 너무 약해요 그게흠	0
역시 믿고 사는 무신사스탠다드 가성비 최고입니다	1
바지랑 세트로 샀어요 좀 큰데 어디서든 입기에는 좋은것같아요 선물용으로도 최고	1
색감이 너무 맘에 듭니다적당히 두껍고 몸에 착 붙는느낌 너무 좋아요	1
깡형 보고 산거긴 하지만 사고나서 너무 만족합니다	1
와이드 슬랙스 진짜 좋네요 가격대비 완벽합니다	1
데일리 바지로 정말 잘 입고있습니다 가성비 최고제품 ㅋ	1
바지 수선하지 않아도 길이감도 좋네요ㅎㅎ사진이랑 색감 차이도 별로 없어요다만 바지 버클 부분 퀄리티가 아쉽습니다깔끔하게 안체워지네요	0
코트 첨인데 가격도 싸고 가성비는 역시 무텐인듯	1
진짜 너무너무 이쁘고요 이걸 왜 이제 샀을까 후회하는중이에요 살짝 아쉬운 점은 후드 시보리가 엄청 탄탄한건 아니라서 좀 아쉽네요 그래도 아주 만족합니다	0
정점  옷이 이쁘고 큭히 네이비색이랑 조합해보니 느낌이 너무 좋습니다단점  냄새 이슈가 있어서 처음에 딱 냄새를 맡아보니 크게 안느껴졌는데 입고 있거나 옷 근처로 가면 스멀스멀 느껴지는 뭔가 칙칙한 냄새 때문에 선뜻 입기가 겁나고 거칠고 심지어 입고나서 피부도 간지러운거 같아요 퓨어한 느낌이 없네요찝찝해서 조만간 드라이 한번 해야할거 같습니다종합  이쁘긴 한데 아쉬운 점도 많다 그래도 안데르센안데르센 사기엔 넘 비싸고 이런 느낌의 옷을 입고 싶으신 분들이라면 아쉬운대로 한벌 장만하는 것도 나쁘진 않다고 생각함	0
핏은 나쁘지 않습니다 두께는 생각보다 얇은 편이나 못 입을 정도는 아니구여 문제는 제품 퀄리티입니다	0
사이즈 다잘맞는데 밑위부분이 딱맞습니다 그리고 지퍼 고장인제품이왓네요 교환하려다가 귀찮아서 수선햇어요	0
 블랙을 제외한 코트는 처음이에요 그레이쉬 블루 색상 되게 고급스러워보입니다 톤온톤 코디하기 참 좋은 색상이네요운동을 해서 어깨가 넓은 편이라 얇은 티 입어도 크다 작다 이런 건 없었구 소매는 손등을 절반 가립니다 제일 중요한 기장은 무릎을 다 가렸고 촬영할 때 손을 들어 올려서 무릎 위까지 올라왔네요더 궁금하신 거 있으면 댓글 달아주세용	1
사이즈도 딱 적당하고 핏도 좋아요 매우 만족합니다ㅎㅎ	1
생각보다 품에 커서 이불 덮은 것 같더라구요 키 대 분들은 생각 좀 해보고 주문하시는 게 좋을 거 같아용저는 너무 길어서 다른 분한테 넘겼어요사이즈 말고는 다 좋았어요 엄청 무겁지도 않고재질도 좋았습니당 	0
기장이 살짝 길지만 다른 부분에서는 완벽한거 같습니다	1
기본 무지후드티중에 최고인거같아요 겉감은 짱짱하고 후드는 도톰하고 안감 기모도 엄청 따뜻합니다 깔끔 그 자체 후드티네요	1
예쁘고 다 만족하지만 밑단 시보리가 많이 짱짱해서 접어서 입어야 할 것 같아요 그 부분이 조금 아쉽습니다	0
색깔 약간 더 쨍합니다 어깨 떨어지는 핏 이쁘고 따뜻합니다 완전 탄탄한 느낌이라 내구성도 좋을것 같아요	1
후드각 안 살아요 오버핏인데 좀 애매해요 이너로 가려 입을거라 그냥 입을래요	0
의외로 로고가 크게 나와서 아쉽지만 이쁘게 나와서 만족합니다	0
음 오 아 예 음 오 아 예 바로 이 맛이죠 그냥 잘입을게요	1
너무좋은데 대박입니다 세미하게 잘맞아요어깨가조금좁게나온듯에 사이즈입니다	1
처음에 받았을때 좀 클까 걱정 했는데 입어보니까 크지도 않고 넣어입으면 예쁜거 같아요 옷이 정말 부드러워요 	1
골지디테일 니트를 찾고 있는데 마침 콜라보를 했다고 해서 주문했습니다 팔기장이 조금만 더 길었으면 좋았을 것 같아요	0
무겁긴한데 크게 신경 안 쓰여요 키 인데 약간 애매한 더 길었음 좋겟사요	0
생각보다 더밝네요핏은예뻐요 허리끈 없어 맞게조절못하는건아쉽네요	0
무탠 슬랙스 가성비 완벽템 이만한게 진짜 돌고 돌아도 없어요	1
블레이저 처음 사봤는데 정말 입문용으로 최고네요 핏도 괜찮고 품질도 마감도 좋아요 에  샀습니다	1
너무 좋아요 예뻐요 근데 좀 긴것 같은데 예쁘니까 만족함	1
전체적으로 완벽한 제품입니다  다만 길이가 생각한 것보다 길어서 참고하세여 	1
좋아요 근데 딱 가격만큼의 소재와 마감이네요 마감상태는 많이 아쉽네요	0
생각보다 품이 크고 팔통도 좀 넓은 편입니다 블레이저 많이 사봤지만 핏이 예쁜 편은 아닌 것 같네요	0
전체적으로는 스타일도 괜찮고 재질도 괜찮은 것같은데 팔은 생각보다도 도 긴것같아서 아쉽습니다	0
예뽀여 제키면 이정도 핏감이여서 하는게 딱좋습니다	1
색상 너무 이쁘고 좋아요 잃어버리면 재구매 의사 있습니다	1
입었을때 몸에 착 감기고 부드러워요 사이즈도 딱 맞아요	1
포인트가 되는 크린컬러 너무 이쁘고 사기잘한거같아오	1
이걸 입은 제 모습을 보니 마치 모델같죠 찰랑이는 밝은 머리와 시크한 블랙코트에 가죽을 얹고 아식슨벨과 버킷햇으로로 스트릿한 느낌을 더한 모습 거울을 보면 항상 감탄합니다 거기에 가끔 로브까지 매주면 세쿠시한 느낌까지 만족합니다 발마칸을 입은 저의 모습 아주 좋습니다	1
로고랑 후드색깔 너무 잘어울려서 막 코디해도 캐주얼하고 이쁘네요  너무 클것같아서 걱정했는데 딱 오버핏에 이쁘네요	0
너무 이뻐요 에스피오나지 너무 좋아요 자주 애용할거같아요	1
검정니트는 이거만한게 없네요 이쁘고 너무 편하고 부드럽고 그냥 좋습니다	1
제 키에는  사이즈도 충분히 넉넉합니다 도톰해서 니트 단품으로 입어도 예쁘고 위에 외투 걸쳐도 예뻐요	1
다른 리뷰대로 좀 빳빳하긴 하네요 길들여야겠어여 그리고 어깨도 레알 깃이 세워져있어요 정도를 조금 넘어선 든든함이에요이 점도 길들여볼게요 색감은 역시 이쁘구 근데 진짜 크긴하네요 그래도 오버핏 좋아해서 괜짜나여	0
생각했던 전체적인 색감과 핏이 너무 예뻐요재질도 완벽합니다	1
너무 편하고 이쁘고 좋습니다 ㅎㅎ 진짜 최고고 코디하기도편해용	1
역시 믿고사는 깡콜라보입니다 가지색상구입	1
역시 기본 슬랙스 맛집답게 핏은 완벽합니다 기장도 굿	1
사이즈가 굉장히 크고 오버핏 좋아하시는 분들에게추천합니다	0
원래 전신사진 후기 안 쓰는데 꼭 알리고 싶어서 써요ㅠㅠ팔길이 말도 안되게 긴데 짝짝이임 양쪽 길이도 실제로 보면 더 안 맞아요ㅠ 이 가격치고 퀄리티 어떻게 이래요 색감만 이쁘고 니트 자체가 무거워서 축 늘어지는 것 때문에 핏도 별로 안 예뻐요 너무 기대했는데 굉장히 아쉬워요 이 돈 주고 이거 말고 다른 거 사세요 제발	0
색감 괜찮고 가을 겨울에 무난하게 잘 입을 것 같습니다	1
무난 무난한 느낌 그냥 저냥 입기 좋은 기본템 같슴다	1
조금 작은 것 같아요 어깨랑 등 부분이 붙는 것 같습니다	0
무난하게 데일리로 입기 딱 좋고 넥라인 파임도 딱 적절해서 브이넥 좋아하는 저에게 너무 만족스럽고 가격 대비 퀄리티도 너무 만족스러워요 가지 색 다 샀더니 활용도가 너무 좋아요 피부도 민감한 편인데 전혀 자극 없어서 재질감도 마음에 드네용	1
너무 최고의 선택인 것 같아요 잘 입고 코디하면 될 것 같아요	1
가성비 최고에요 적당한 와이드고 셋업으로 입으면 더 예뻐요	1
베이식 블레이져는 허리라인 없는게 아쉽네요 그거빼고는 다 좋아요	0
아직까진괜찮아요아직까진괜찮아요아직까진괜찮아요아직까진괜찮아요아직까진괜찮아요아직까진괜찮아요	0
제 스펙에 라지는 많이작고 는 잘맞습니다 다만 팔길게 입는 분께는 팔 좀 짧게 느껴지실수도 있아용	1
적당히 오버한 핏에 팔 떨어지는 라인이랑 기장까지 너무 예쁩니다	1
블랙사고 너무 이뻐서 그레이도 겨울원단으로 주문역시나 핏은 최고네요 기장은 줄여야하지만 ㅠㅠ올해 겨울 잘입을게요	1
봄날씨에 외투로 입어도 좋고 겨울에 이너로 입어도 실루엣이 완벽합니당	1
니트 예쁘고 편합니다 근데 보풀이 잘 생기는거 같습니다	0
역시 매번 품절인 이유가 있네요 잘입겠습니다 가성비 진짜 좋네요	0
완전 편하게 입고 있는 니트에요 블프때 더 살껑아쉽네요	0
예약 출고보단 일찍 와서 좋았지만 대처가 미흡한거 같아 아쉽지만 옷은 마른체형에 입기에 괜찮고 무난하네요	0
전 너무 좋아요 길이도 제가 원했고 부드럽습니다	1
두툼한 두께감에 겨울에 입기 좋은 니트입니다날씨 본격적으로 추워지기 전에 딱 도착했네요 	1
핏은 괜찮음 여성이면 사이즈 업 해도 괜찮을 듯근데 질이 거친거는 이너입으면 해결이라 괜찮은데 털이 너무 빠짐 진짜 몇 번을 돌려도 초심을 잃지 않아요 걍 계속 빠져요	0
무거운것 하나만 빼면 정말 마음에 드는것 같아요 좋습니당	1
괜찮은데 보풀이 잘나요 그래도 살만한 제품인거같아요	0
쵝오에요 엘무드 엘무드에서 제품을 꾸준히 이용중입니다 코트 아우터 슬랙스 여러가비 제품을 사봤지만 이번 제품이 가장 마음에 듭니다원단에 캐시가 포함되지 않아 다소 거치지 않을까 생각했지만 맨살에 입어도 될정도로 엄청 부드럽고 퀄리티도 아주 우수한 니트인것같아요가격도 타사니트들에 비해 경쟁력이 충분히 있고 깔끔한 소매 시보리 넥라인이 정말 좋은것 같아요그리고 기장감도 깔끔히 넣입하기 딱이에요 쵝오	1
미디움도 꽤 널널합니다 사이즈가 좀 크게 나온 듯 재질 부드럽고 두께 괜찮아서 봄 가을에 입기 좋을 거 같아요	1
바지는 역시 무탠다드입니다ㅎㅎ 어중간한거살바에야 여기가 최고인듯 해요 ㅎㅎ	1
너무 예쁘요 가격도 저렴해서 한번 구매해봤습니다핏이랑 옷재질은 정말 만족 다른 색상도 구매하고 싶을 정도인데 맨살에는 조금 무리일듯한 까슬함과 첫구매시 냄새가 심하다는 점 아쉽네요	0
가격대비 품질이 너무 좋아요색상도 생각한 그대로고 마냥 가볍지는 않지만 따뜻해서 좋아요두꺼운 니트만 피해서 입으면 사이즈도 넉넉했어요	1
너무 좋아요 작지도 크지도 않고 봄 가을에 입기에 딱이네요	1
핏이 진짜 너무너무 예뻐요 보풀도 잘 안생기눈 재질이고 딱 떨어지는 핏이최고	1
하체가 있는편이라 일반 여자들 슬랙스 안어울리는경우가 많아서 남자꺼 사봤는데 망했어요 ㅠㅠ 그리고 첨부터 넘 과감하게 리얼와이드 샀나봐요일단 너무 길고 너무 크고 그리고 앞쪽에 주름이 잡혀있는데 그게 옆에서 보면 붕떠서 핏이 이상해요 뭔가 항아리 그리고 통이 크다보니 옆모습이 바지가 큰건데 다 다리같아보여서 진짜 뚱뚱해보이네요ㅠㅠ 사람마다 체형 달라서 오히려 이런건 마르신 분들이 입으면 예쁘겠어요사진은 길이수선한거고 원랜 저리 짧지않아요	0
상품 핏도 맘에들고 부드러운 소재 깔끔한 디자인이어서 잘 입고 다닐 수 있을거 같습니다	1
겉 재질이 좀만 입어도 뭉쳐서 없어보임이런 재질 처음이면 비추	0
가을이 짧아서 아쉽긴한데 얼른 사서 예쁘게 입고다니세여	0
너무 좋아요 보들보들하고 사이즈는  세미오버핏 나오네요 진짜 좋아유ㅠㅠ 색감도 밝아요	1
넘넘 이뻐요 다음에 다른색으로 재구매 할라고 드릉드릉 하는중입니다	1
기본 블레어저가 필요했는데 세일할때 잘 산거 같고 인데 총장은 딱 맞는거 같고 소매는 길거라 예상해서 수선하려고요 또한 제가 상견이여서 뒷목이 뜨는데 이건 어쩔수 없고요ㅠ	0
평소에 오버핏을 좋아해서 핏이 정핏 느낌 세미느낌이라 적응이 안됬지만 점점 익숙해져야 할거 같아요 진짜 사이즈 고민 많이 했는데 마르신분이니 몸좋으신 분은 체형 보완 많이 될거같네요	1
역시 사람들이 많이 사는데는 이유가 있네요 핏도 그렇고 기장감이나 최고 제 스펙이 사이즈 살짝 오버핏하게 이뻐요	1
확실히 일반 면 티셔츠 보다 시원할거 같고요 그냥 막입기 좋을거 같아요 흰티는 입어보니까 안에 살짝 비춰요	0
가을에 편하게 입을 니트로 샀는데 재질도 좋고 입었을때 기분 좋아지네요 핏도 체형보완도 좋습니다	1
